opcode_prefix,source_file,game_name,cheat_name,original_code_line,following_code_line_if_relevant,position_in_cheat,inferred_role,address_field,possible_saturn_address,value_field,address_range_guess,value_width_guess,confidence_low_medium_high,candidate_support_path,risk,notes
D6,libretro-sega-saturn\Robo Pit (GameShark).cht,Robo Pit,Infinite Health P1,D6980090+1609D6E8,,1/1,"D6 conditional candidate, following action unclear",0x980090,0x00980090,0x1609D6E8,unknown/out-of-current-supported-range,32-bit-looking,medium,Future conditional read/compare/apply-next RTL format only after semantics are confirmed.,medium-high correctness and timing risk; requires read/compare/apply sequencing,multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet
F6,libretro-sega-saturn\Albert Odyssey - Legend of Eldean (GameShark).cht,Albert Odyssey - Legend of Eldean,Master Code,F6000914+C305,B6002800+0000,1/2,master/enabler first record,0x000914,0x06000914,0xC305,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
B6,libretro-sega-saturn\Albert Odyssey - Legend of Eldean (GameShark).cht,Albert Odyssey - Legend of Eldean,Master Code,B6002800+0000,,2/2,secondary master/enabler record paired after F6,0x002800,0x06002800,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,high,Do not implement as direct write; paired master/enabler metadata only until opcode is documented.,high correctness risk; secondary enabler behavior unconfirmed,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
F6,libretro-sega-saturn\Alien Trilogy (GameShark).cht,Alien Trilogy,Master Code,F6000914+C305,B6002800+0000,1/2,master/enabler first record,0x000914,0x06000914,0xC305,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
B6,libretro-sega-saturn\Alien Trilogy (GameShark).cht,Alien Trilogy,Master Code,B6002800+0000,,2/2,secondary master/enabler record paired after F6,0x002800,0x06002800,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,high,Do not implement as direct write; paired master/enabler metadata only until opcode is documented.,high correctness risk; secondary enabler behavior unconfirmed,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
F6,libretro-sega-saturn\All-Star 1997 (GameShark).cht,All-Star 1997,Master Code,F6000914+C305,B6002800+0000,1/2,master/enabler first record,0x000914,0x06000914,0xC305,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
B6,libretro-sega-saturn\All-Star 1997 (GameShark).cht,All-Star 1997,Master Code,B6002800+0000,,2/2,secondary master/enabler record paired after F6,0x002800,0x06002800,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,high,Do not implement as direct write; paired master/enabler metadata only until opcode is documented.,high correctness risk; secondary enabler behavior unconfirmed,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
F6,libretro-sega-saturn\Alone in the Dark - One-Eyed Jacks Revenge (GameShark).cht,Alone in the Dark - One-Eyed Jacks Revenge,Master Code,F6000924+C305,,1/1,master/enabler first record,0x000924,0x06000924,0xC305,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
10,libretro-sega-saturn\Alone in the Dark - One-Eyed Jacks Revenge (GameShark).cht,Alone in the Dark - One-Eyed Jacks Revenge,Infinite Revolver Shots,102B800A+0009,,1/1,"likely low work RAM 16-bit direct write pattern, unconfirmed opcode",0x2B800A,0x002B800A,0x0009,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 16-bit write path; needs RTL target path and opcode confirmation.,"high implementation risk in current core because target appears to be low work RAM, not RAMH",unsupported or mixed record types: unsupported_prefix_10 Address field is outside current RAMH mapping; pattern clusters in 0x002xxxxx low work RAM range.
10,libretro-sega-saturn\Alone in the Dark - One-Eyed Jacks Revenge (GameShark).cht,Alone in the Dark - One-Eyed Jacks Revenge,Infinite Thompson Ammo,102B7FF8+0009,,1/1,"likely low work RAM 16-bit direct write pattern, unconfirmed opcode",0x2B7FF8,0x002B7FF8,0x0009,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 16-bit write path; needs RTL target path and opcode confirmation.,"high implementation risk in current core because target appears to be low work RAM, not RAMH",unsupported or mixed record types: unsupported_prefix_10 Address field is outside current RAMH mapping; pattern clusters in 0x002xxxxx low work RAM range.
