"source_file","game_name","cheat_name","original_code_lines","detected_type","code_prefixes","address_or_addresses","values","reason_currently_unsupported","possible_future_support","estimated_runtime_complexity","estimated_resource_risk","correctness_risk","recommended_priority","notes"
"libretro-sega-saturn\Resident Evil (GameShark).cht","Resident Evil","All Weapons In Inventory Box When You Start New Game","D02F867C+00A0+102F877A+030F+102F877C+040F+102F877E+060F+102F8780+070F+102F8782+0A0F+102F8778+050F+102F8776+080F+102F8774+090F","button/input conditional if present","10;D0","0x2F867C;0x2F877A;0x2F877C;0x2F877E;0x2F8780;0x2F8782;0x2F8778;0x2F8776;0x2F8774","0x00A0;0x030F;0x040F;0x060F;0x070F;0x0A0F;0x050F;0x080F;0x090F","unsupported or mixed record types: unsupported_prefix_10,unsupported_prefix_D0","Needs input-condition decode and conditional apply path.","high","medium","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv; D0-style/button conditional semantics need confirmation."
"manual_import_queue_20260613\Resident Evil (USA T-1221H) (GameHacking).cht","Resident Evil","All Weapons In Inventory Box When You Start New Game [Various Creators]","D02F867C+00A0+102F877A+030F+102F877C+040F+102F877E+060F+102F8780+070F+102F8782+0A0F+102F8778+050F+102F8776+080F+102F8774+090F","button/input conditional if present","10;D0","0x2F867C;0x2F877A;0x2F877C;0x2F877E;0x2F8780;0x2F8782;0x2F8778;0x2F8776;0x2F8774","0x00A0;0x030F;0x040F;0x060F;0x070F;0x0A0F;0x050F;0x080F;0x090F","unsupported or mixed record types: unsupported_prefix_10,unsupported_prefix_D0","Needs input-condition decode and conditional apply path.","high","medium","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv; D0-style/button conditional semantics need confirmation."
"libretro-sega-saturn\Resident Evil (GameShark).cht","Resident Evil","Crate O' Goodies","D02F867C00A0+102F87240BFF+102F87260CFF+102F87280DFF+102F872A0EFF+102F872C0FFF+102F872E10FF+102F873011FF+102F873212FF+102F873446FF+102F873647FF+102F873848FF","button/input conditional if present","10;D0","0x2F867C;0x2F8724;0x2F8726;0x2F8728;0x2F872A;0x2F872C;0x2F872E;0x2F8730;0x2F8732;0x2F8734;0x2F8736;0x2F8738","0x00A0;0x0BFF;0x0CFF;0x0DFF;0x0EFF;0x0FFF;0x10FF;0x11FF;0x12FF;0x46FF;0x47FF;0x48FF","unsupported or mixed record types: unsupported_prefix_10,unsupported_prefix_D0","Needs input-condition decode and conditional apply path.","high","medium","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv; D0-style/button conditional semantics need confirmation."
"manual_import_queue_20260613\Resident Evil (USA T-1221H) (GameHacking).cht","Resident Evil","Crate O' Goodies [InterAct]","D02F867C00A0+102F87240BFF+102F87260CFF+102F87280DFF+102F872A0EFF+102F872C0FFF+102F872E10FF+102F873011FF+102F873212FF+102F873446FF+102F873647FF+102F873848FF","button/input conditional if present","10;D0","0x2F867C;0x2F8724;0x2F8726;0x2F8728;0x2F872A;0x2F872C;0x2F872E;0x2F8730;0x2F8732;0x2F8734;0x2F8736;0x2F8738","0x00A0;0x0BFF;0x0CFF;0x0DFF;0x0EFF;0x0FFF;0x10FF;0x11FF;0x12FF;0x46FF;0x47FF;0x48FF","unsupported or mixed record types: unsupported_prefix_10,unsupported_prefix_D0","Needs input-condition decode and conditional apply path.","high","medium","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv; D0-style/button conditional semantics need confirmation."
"libretro-sega-saturn\Resident Evil (GameShark).cht","Resident Evil","Health Restore With X Button","D02FF8460008+102F51AC008C+102F867E008C","button/input conditional if present","10;D0","0x2FF846;0x2F51AC;0x2F867E","0x0008;0x008C;0x008C","unsupported or mixed record types: unsupported_prefix_10,unsupported_prefix_D0","Needs input-condition decode and conditional apply path.","high","medium","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv; D0-style/button conditional semantics need confirmation."
"manual_import_queue_20260613\Resident Evil (USA T-1221H) (GameHacking).cht","Resident Evil","Health Restore With X Button [InterAct]","D02FF846+0008+102F51AC+008C+D02FF846+0008+102F867E+008C","button/input conditional if present","10;D0","0x2FF846;0x2F51AC;0x2F867E","0x0008;0x008C;0x0008;0x008C","unsupported or mixed record types: unsupported_prefix_10,unsupported_prefix_D0","Needs input-condition decode and conditional apply path.","high","medium","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv; D0-style/button conditional semantics need confirmation."
"libretro-sega-saturn\Resident Evil (GameShark).cht","Resident Evil","Weapons In Crate At Start","D02F867C00A0+102F877A030F+102F877C040F+102F877E060F+102F8780070F+102F87820A0F+102F8778050F+102F8776080F+102F8774090F","button/input conditional if present","10;D0","0x2F867C;0x2F877A;0x2F877C;0x2F877E;0x2F8780;0x2F8782;0x2F8778;0x2F8776;0x2F8774","0x00A0;0x030F;0x040F;0x060F;0x070F;0x0A0F;0x050F;0x080F;0x090F","unsupported or mixed record types: unsupported_prefix_10,unsupported_prefix_D0","Needs input-condition decode and conditional apply path.","high","medium","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv; D0-style/button conditional semantics need confirmation."
"manual_import_queue_20260613\Resident Evil (USA T-1221H) (GameHacking).cht","Resident Evil","Weapons In Crate At Start [InterAct]","D02F867C00A0+102F877A030F+102F877C040F+102F877E060F+102F8780070F+102F87820A0F+102F8778050F+102F8776080F+102F8774090F","button/input conditional if present","10;D0","0x2F867C;0x2F877A;0x2F877C;0x2F877E;0x2F8780;0x2F8782;0x2F8778;0x2F8776;0x2F8774","0x00A0;0x030F;0x040F;0x060F;0x070F;0x0A0F;0x050F;0x080F;0x090F","unsupported or mixed record types: unsupported_prefix_10,unsupported_prefix_D0","Needs input-condition decode and conditional apply path.","high","medium","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv; D0-style/button conditional semantics need confirmation."
"manual_import_queue_20260613\Albert Odyssey - Legend of Eldean (USA) (v1.010 T-12705H) (GameHacking).cht.cht","Albert Odyssey - Legend of Eldean","Walk Through Walls (L&R) (Towns/Dungeons) [Helder]","D6036642+0088+160AB782+A03A+160AB854+A030+160AB980+A027+160ABA5A+A029","conditional + direct write","16;D6","0x036642;0x0AB782;0x0AB854;0x0AB980;0x0ABA5A","0x0088;0xA03A;0xA030;0xA027;0xA029","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht","Battle Arena Toshinden Ultimate Revenge Attack","1-Hit Death P1","D60723A2+0200+160723A3+0001","conditional + direct write","16;D6","0x0723A2;0x0723A3","0x0200;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
